home_team,away_team,home_goals,away_goals,home_team_rating,away_team_rating
Tottenham,West Ham,4,1,8,6
Southampton,Leicester,2,3,4,6
Fulham,Aston Villa,1,3,6,9
Newcastle,Brighton,0,1,7,8
Manchester United,Brentford,2,1,7,6
Ipswich,Everton,0,2,5,6
Bournemouth,Arsenal,2,0,6,9
Wolves,Manchester City,1,2,4,10
Liverpool,Chelsea,2,1,9,8
Nottingham Forest,Crystal Palace,1,0,6,4
